species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
densiflora,graborg_d,29.4,109.8048,12.91,186,53,49,9.1999999999999993
densiflora,graborg_d,29.2,96.8724,12.93,188,37,35,7.653333333
densiflora,graborg_d,20.1,80.8736,13.17,188,23,17,4.5633333330000001
densiflora,graborg_d,32.5,89.3514,13.58,187,69,64,7.77
densiflora,graborg_d,30.4,143.8801,16.68,188,53,49,9.3833333329999995
densiflora,graborg_d,15.2,77.3696,11.62,192,18,12,3.3633333329999999
densiflora,graborg_d,21.9,92.162,13.74,190,50,50,7.1133333329999999
densiflora,igelmossen,31,99.7072,12.02,190,50,43,5.5533333330000003
densiflora,igelmossen,34.1,77.3024,9.93,193,39,30,6.2366666669999997
densiflora,igelmossen,34.4,154.3341,15.93,189,26,26,11.33333333
densiflora,igelmossen,47.5,126.682,16.25,190,53,49,4.9066666669999996
densiflora,igelmossen,39.7,107.8106,13.73,192,97,97,12.64666667
densiflora,igelmossen,38.3,105.6877,13.86,193,63,60,8.4933333330000007
densiflora,igelmossen,38.1,123.9225,16.1,191,43,40,8.4133333330000006
densiflora,igelmossen,42.1,128.4942,14.26,190,37,37,8.8666666670000005
densiflora,igelmossen,47.3,153.6832,14.95,188,61,58,11.393333330000001
densiflora,igelmossen,31.2,108.9156,14.69,192,35,25,8.7166666670000001
densiflora,igelmossen,30.6,95.1598,12.08,195,39,36,7.38
densiflora,igelmossen,31.5,132.342,12.2,191,37,34,6.153333333
densiflora,igelmossen,34.2,66.708,14.19,193,53,45,7.8966666669999999
densiflora,igelmossen,31,85.8912,14.22,193,34,33,8.3733333329999997
densiflora,igelmossen,30.9,92.73,14.86,189,39,30,7.22
densiflora,igelmossen,26.1,126.714,14.85,192,32,28,9.9166666669999994
densiflora,igelmossen,47,117.5712,17.54,190,59,55,10.99333333
densiflora,igelmossen,50.2,103.4208,14.71,192,62,48,13.713333329999999
densiflora,igelmossen,48.1,111.9242,14.72,194,60,55,19.31666667
densiflora,igelmossen,52.2,144.2115,15.9,189,70,64,14.42
densiflora,igelmossen,46.8,107.4759,13.49,192,80,65,14.073333330000001
densiflora,igelmossen,27.9,111.3571,14.29,191,37,34,5.2566666670000002
densiflora,igelmossen,30.2,123.1514,12.55,193,28,19,9
densiflora,igelmossen,29.5,100.5048,12.06,191,40,33,7.0866666670000003
densiflora,igelmossen,38,148.185,15.15,192,40,31,10.926666669999999
densiflora,igelmossen,39.6,132.1928,16.76,191,27,26,9.5966666669999992
densiflora,igelmossen,27.7,108.9038,11.34,189,41,40,10.19
densiflora,igelmossen,23.4,96.4684,12.73,195,16,14,6.1366666670000001
densiflora,igelmossen,30.7,112.3932,12.32,196,30,27,8.18
densiflora,igelmossen,29.5,134.7792,14.52,193,30,28,8.306666667
densiflora,igelmossen,30.1,79.6152,13.91,196,34,32,6
densiflora,igelmossen,37.9,142.3704,15.93,192,62,56,9.2566666669999993
densiflora,igelmossen,39.5,119.5032,14.12,191,29,23,9.9666666670000001
densiflora,igelmossen,30.2,109.1556,14.02,191,42,37,7.7
densiflora,igelmossen,31,101.1769,13.36,191,30,22,6.9466666669999997
densiflora,igelmossen,21.7,138.0366,15.46,190,21,19,6.97
densiflora,igelmossen,37,166.2222,16.93,189,60,54,13.94
densiflora,igelmossen,34.4,153.5908,16.18,190,31,31,9.3333333330000006
densiflora,igelmossen,37.7,119.7763,14.32,192,42,35,12.44
densiflora,igelmossen,41.5,124.5952,12.1,190,60,57,14.05666667
densiflora,igelmossen,39.7,103.8828,15.05,190,58,53,8.7233333329999994
densiflora,igelmossen,25.7,130.6144,11.98,192,21,11,6.45
densiflora,igelmossen,31.4,120.764,15.31,194,16,12,7.5533333330000003
densiflora,igelmossen,32,114.3648,13.43,191,51,43,10.23
densiflora,igelmossen,27.4,115.5504,13.43,192,16,15,7.266666667
densiflora,igelmossen,50,133.8767,17.89,191,49,45,7.65
densiflora,igelmossen,48.3,111.9042,8.53,194,51,27,7.806666667
densiflora,igelmossen,39.5,133.5232,14.82,192,36,26,12.92
densiflora,igelmossen,40.4,112.6536,14.35,193,14,12,14.08
densiflora,igelmossen,31.4,87.3312,14.61,192,25,10,3.8433333329999999
densiflora,igelmossen,49.6,150.9084,12.71,195,48,48,15.43333333
densiflora,igelmossen,41.3,120.3174,16.12,191,57,52,12.45333333
densiflora,igelmossen,31.4,87.419,14.44,194,35,30,6.08
densiflora,igelmossen,44.6,94.4837,11.91,194,35,28,12.00333333
densiflora,igelmossen,40.5,131.4144,14.81,193,30,28,10.26333333
densiflora,igelmossen,45,77.7663,14.48,199,47,42,11.946666670000001
densiflora,igelmossen,52.7,87.7931,13.66,193,64,60,14.276666669999999
densiflora,igelmossen,30.5,89.0975,14.78,191,30,30,6.7533333329999996
densiflora,igelmossen,38.3,124.4309,12.34,194,34,30,11.84333333
densiflora,igelmossen,36,112.112,12.27,194,34,33,14.196666670000001
densiflora,igelmossen,40.3,72.01,14.42,198,44,40,7.9333333330000002
densiflora,igelmossen,34.2,74.5481,13.97,198,29,12,5.766666667
densiflora,igelmossen,40,140.2194,16.36,191,31,23,12.06666667
densiflora,igelmossen,33.5,85.278,14.28,194,31,23,6.1733333330000004
densiflora,igelmossen,38.9,134.2656,15.56,192,51,46,9.7766666670000006
densiflora,igelmossen,34.2,109.161,13.8,192,33,27,5.2566666670000002
densiflora,igelmossen,25.6,113.509,13.1,193,23,23,7.88
densiflora,igelmossen,24.9,124.5075,14.43,195,24,23,7.483333333
densiflora,igelmossen,31.4,112.547,14.16,195,40,23,6.5433333329999996
densiflora,igelmossen,30.7,115.479,14,193,25,19,6.943333333
densiflora,igelmossen,31,114.3776,14.21,191,30,19,5.09
densiflora,igelmossen,42.7,95.6536,15.43,192,51,47,8.8833333329999995
densiflora,igelmossen,43.9,145.9354,15.97,189,49,45,12.77
densiflora,igelmossen,37.5,107.787,11.39,196,30,27,7.66
densiflora,igelmossen,29.7,102.425,11.19,194,21,20,6.94
densiflora,igelmossen,24.1,111.6031,13.62,198,12,5,3.076666667
densiflora,igelmossen,38.2,102.5325,15.39,190,50,45,6.7466666670000004
densiflora,igelmossen,39.7,131.8872,15.02,191,42,39,11.74
densiflora,igelmossen,44,142.1665,15.57,191,59,53,11.91333333
densiflora,igelmossen,44.3,138.334,15.38,189,47,44,10.46666667
densiflora,igelmossen,45.1,111.7648,16.39,190,50,45,9.1766666669999992
densiflora,igelmossen,34.3,122.2299,13.44,194,34,30,4.95
densiflora,igelmossen,29.3,122.5666,14.28,193,25,24,9.82
densiflora,igelmossen,61.4,134.784,14.63,189,108,90,12.016666669999999
densiflora,igelmossen,36.8,100.3625,13.25,192,31,25,7.9933333329999998
densiflora,igelmossen,44,78.1378,14.69,195,38,30,5.09
